CropID,Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
,Cucumber,M,M,M,S,S,S
,Green Leafy Veg,H,M,M,M,S,M
,Jute,P,H,S,U,U,U
,Mesta,H,M,S,U,U,U
,Sun Hemp,H,M,M,U,U,U
,Balsam,M,M,M,M,S,H
,Zinnia,M,M,M,H,M,H
,Cosmos,M,M,M,M,S,H
,Mint,P,H,H,H,M,H
,Dill,M,M,M,M,S,M
,Lemongrass,M,H,H,H,M,M
,Brahmi,H,H,H,M,S,M
,Coleus,M,H,H,H,M,M
,Kalmegh,M,M,M,M,S,S
,Stevia,M,M,M,H,M,M
,Aloe Vera,H,H,H,P,H,S
,Senna,M,M,M,H,H,S
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Guinea Grass,M,M,M,H,M,M
